,path_image,path_annot
1,images/drosophila_ovary_slice/image/insitu4174.jpg,images/drosophila_ovary_slice/annot_struct/insitu4174.png
2,images/drosophila_ovary_slice/image/insitu4358.jpg,images/drosophila_ovary_slice/annot_struct/insitu4358.png
3,images/drosophila_ovary_slice/image/insitu7331.jpg,images/drosophila_ovary_slice/annot_struct/insitu7331.png
4,images/drosophila_ovary_slice/image/insitu7544.jpg,images/drosophila_ovary_slice/annot_struct/insitu7544.png
5,images/drosophila_ovary_slice/image/insitu7545.jpg,images/drosophila_ovary_slice/annot_struct/insitu7545.png
6,images/drosophila_ovary_slice/image/insitu4174.tif,images/drosophila_ovary_slice/annot_struct/insitu4174.png
7,images/drosophila_ovary_slice/image/insitu4358.tif,images/drosophila_ovary_slice/annot_struct/insitu4358.png
8,images/drosophila_ovary_slice/image/insitu7331.tif,images/drosophila_ovary_slice/annot_struct/insitu7331.png
9,images/drosophila_ovary_slice/image/insitu7544.tif,images/drosophila_ovary_slice/annot_struct/insitu7544.png
10,images/drosophila_ovary_slice/image/insitu7545.tif,images/drosophila_ovary_slice/annot_struct/insitu7545.png
