,path_image,path_annot
1,images/drosophila_disc/image/img_5.jpg,images/drosophila_disc/annot/img_5.png
2,images/drosophila_disc/image/img_6.jpg,images/drosophila_disc/annot/img_6.png
3,images/drosophila_disc/image/img_12.jpg,images/drosophila_disc/annot/img_12.png
4,images/drosophila_disc/image/img_14.jpg,images/drosophila_disc/annot/img_14.png
5,images/drosophila_disc/image/img_15.jpg,images/drosophila_disc/annot/img_15.png
6,images/drosophila_disc/image/img_19.jpg,images/drosophila_disc/annot/img_19.png
7,images/drosophila_disc/image/img_20.jpg,images/drosophila_disc/annot/img_20.png
8,images/drosophila_disc/image/img_24.jpg,images/drosophila_disc/annot/img_24.png
9,images/drosophila_disc/image/img_26.jpg,images/drosophila_disc/annot/img_26.png
10,images/drosophila_disc/image/img_43.jpg,images/drosophila_disc/annot/img_43.png
