,path_image,path_annot
1,data-images/drosophila_disc/image/img_5.jpg,data-images/drosophila_disc/annot/img_5.png
2,data-images/drosophila_disc/image/img_6.jpg,data-images/drosophila_disc/annot/img_6.png
3,data-images/drosophila_disc/image/img_12.jpg,data-images/drosophila_disc/annot/img_12.png
4,data-images/drosophila_disc/image/img_14.jpg,data-images/drosophila_disc/annot/img_14.png
5,data-images/drosophila_disc/image/img_15.jpg,data-images/drosophila_disc/annot/img_15.png
6,data-images/drosophila_disc/image/img_19.jpg,data-images/drosophila_disc/annot/img_19.png
7,data-images/drosophila_disc/image/img_20.jpg,data-images/drosophila_disc/annot/img_20.png
8,data-images/drosophila_disc/image/img_24.jpg,data-images/drosophila_disc/annot/img_24.png
9,data-images/drosophila_disc/image/img_26.jpg,data-images/drosophila_disc/annot/img_26.png
10,data-images/drosophila_disc/image/img_43.jpg,data-images/drosophila_disc/annot/img_43.png
